Pu,Ca,NAC,sample_n,tr,pooled_striatum
0.36802635,0.8727738,-0.61673266,205,153.75,0.6240675
0.8866522,0.5744978,0.7074441,206,154.5,2.168594
-0.009329173,0.19217953,-0.702747,207,155.25,-0.5198966
1.0467168,0.6905894,-0.21293034,208,156.0,1.5243759
1.5674098,1.0555148,-0.5899929,209,156.75,2.0329318
0.9213034,1.5330997,-0.39839947,210,157.5,2.0560036
-0.4478275,1.2074589,-0.27381238,211,158.25,0.485819
0.7918917,1.4170545,-0.11930184,212,159.0,2.0896444
1.4877174,1.322762,-0.10716307,213,159.75,2.7033162
0.5309741,0.649264,-0.5096245,214,160.5,0.6706135
-0.13373627,0.48957428,-0.4648804,215,161.25,-0.109042406
0.031332966,0.48377666,1.152054,216,162.0,1.6671636
-0.09769792,-0.10999246,0.5934667,217,162.75,0.3857763
-1.184397,-0.7747245,0.73133737,218,163.5,-1.2277842
-1.9253181,-1.5063379,0.2930086,219,164.25,-3.1386473
-1.497645,-1.4581944,0.81988454,220,165.0,-2.1359549
-1.5896856,-1.48055,0.87561464,221,165.75,-2.194621
-1.6578728,-1.8004396,0.5920552,222,166.5,-2.8662572
-1.0528637,-0.91762424,-0.10892743,223,167.25,-2.0794153
0.9839965,-0.31059015,0.8204648,224,168.0,1.4938712
0.97798556,0.44124532,1.0281962,225,168.75,2.4474273
0.55806404,0.8399825,1.7830191,226,169.5,3.1810656
1.0069251,1.1237876,0.45420015,227,170.25,2.5849128
1.6992693,1.8301234,0.36620978,228,171.0,3.8956025
0.1416783,1.8017383,0.48059493,229,171.75,2.4240115
-0.3647897,0.76994723,0.5657702,230,172.5,0.9709277
-1.1762645,0.62291956,1.2746336,231,173.25,0.7212887
-0.544655,-0.112960845,0.34006593,232,174.0,-0.31754997
-0.04999131,-0.37807444,0.2845632,233,174.75,-0.14350253
-0.9889467,-0.15776485,0.25267932,234,175.5,-0.89403224
-0.6390347,-0.032350723,-0.53637993,235,176.25,-1.2077653
-1.0834895,-0.9394697,0.032526884,236,177.0,-1.9904324
-1.6250983,-1.3711838,0.31494933,237,177.75,-2.6813328
-2.7973647,-1.0613124,0.15675324,238,178.5,-3.7019238
-0.88436747,-0.88344145,0.32379463,239,179.25,-1.4440143
-1.2289485,-0.24440451,0.3724595,240,180.0,-1.1008935
-0.84128463,-0.7538994,0.11270707,241,180.75,-1.4824771
0.11518672,-6.957145e-05,0.57069474,242,181.5,0.6858119
0.48022118,1.0512478,-0.03933338,243,182.25,1.4921356
1.7058786,1.4855592,1.24293,244,183.0,4.4343677
0.41750085,1.10338,0.70419765,245,183.75,2.2250786
-0.6522533,0.95830035,-0.08213274,246,184.5,0.22391428
-1.0146767,0.65074813,0.08365401,247,185.25,-0.28027454
-1.7048451,0.13527009,0.3851864,248,186.0,-1.1843885
-3.0471036,-1.5954821,-0.1832029,249,186.75,-4.8257885
-3.0858617,-1.8114783,0.078415826,250,187.5,-4.818924
-2.3953397,-1.8883779,0.023540432,251,188.25,-4.260177
-1.6486524,-2.1256166,0.22971132,252,189.0,-3.5445578
-1.357381,-1.835921,-0.272495,253,189.75,-3.4657972
-0.50037545,-0.82518697,0.00065869297,254,190.5,-1.3249037
1.0914044,0.24324498,0.062136702,255,191.25,1.3967861
0.6130599,0.70070046,0.0327935,256,192.0,1.3465538
0.7982562,0.96163976,1.0906465,257,192.75,2.8505425
